id;Lauseet;Kategoria
3-11939848;Kun inflaatio eli yleinen hintojen nousu on alkanut osoittaa[ kiihtymisen merkkejä](https://yle.fi/uutiset/3-11927768), moni miettii, nousevatko myös korot eli alkaako lainanmaksu pian kallistua.;Määrä
3-11939848;Monella tuoreella asuntovelallisella on paljon lainaa ja kokemusta vain alhaisten korkojen maailmasta, sanoo LähiTapiolan yksityistalouden ekonomisti Hannu Nummiaro.;Määrä
3-11939848;– Jos talous on viritetty valmiiksi liian tiukalle, korkojen nousu voi aiheuttaa arjessa niukkuutta.;Korrelaatio/kaussatio
3-11939848;Yöunia ei kannata kuitenkaan vielä menettää korkojen takia.;Henkilökohtainen_kokemus
3-11939848;Merkkejä siitä, että euroalueen inflaatiota vahtiva Euroopan keskuspankki EKP olisi nostamassa ohjauskorkoa lähiaikoina, ei ole, sanoo Swedbankin Suomen-pääekonomisti Heidi Schauman.;Ennuste
3-11939848;– Pitää vielä odottaa aika monta vuotta, ennen kuin lyhyet korot nousevat mitenkään merkittävästi.;Määrä
3-11939848;Euriborien kiivettävä ensin miinukselta nollan yli;Määrä
3-11939848;Euroalueen inflaation nousua pidetään lyhytaikaisena.;Ennuste
3-11939848;Osin se johtuu siitä, että vuosi sitten, kun koronapandemia alkoi, öljyn hinta romahti.;Korrelaatio/kaussatio
3-11939848;Kun öljyn hintaa verrataan nyt vuoden takaiseen, nousuprosentti on suuri, Heidi Schauman sanoo.;Määrä
3-11939848;Euroopassa talouskasvu ei välttämättä pääse vielä niin vakaalle pohjalle, että ohjauskorkoa nostettaisiin, sanoo Hannu Nummiaro.;Ennuste
3-11939848;– Olettaisin että ainakaan pariin vuoteen ei nosteta korkoa, ja senkin jälkeen tahti on maltillinen.;Henkilökohtainen_kokemus
3-11939848;Voi olla niinkin että koronnosto alkaa, sitten se pysähtyy, ja jopa kääntyy ohjauskoron laskuksi, koska talous ei kestäkään sitä korkojen nousua.;Henkilökohtainen_kokemus
3-11939848;Lisäksi suosituin asuntolainan viitekorko, [kahdentoista kuukauden euribor](https://www.suomenpankki.fi/fi/Tilastot/korot/kuviot/korotkuviot/euriborkorotpvchrtfi/), on lähes puoli prosenttia miinuksella, Schauman muistuttaa.;Määrä
3-11939848;Vasta kun se kipuaa nollan yli, vaikutus alkaa näkyä asuntolainan kuluissa.;Korrelaatio/kaussatio
3-11939848;– Matka siihen, että tavalliset korot olisivat korkeita asuntolain-asiakkaan näkökulmasta, on pitkä.;Määrä
3-11939848;– Toki on olemassa riski, että tulee jokin yllätys ja inflaatio jää pysyvämmäksi kuin mitä nyt arivoidaan.;Muu
3-11939848;Kokeile, miten koronnousu vaikuttaa lainan kuluihin;Ei_tarkistettavissa_oleva_väite
3-11939848;Korkojen nousuun kannattaa kuitenkin varautua joka tapauksessa, ekonomistit sanovat.;Henkilökohtainen_kokemus
3-11939848;Laina-ajat ovat pitkiä, eikä tulevaisuuden ennustaminen ole helppoa.;Henkilökohtainen_kokemus
3-11939848;Pankit arvioivat asuntovelallisen maksukykyä niin sanotun kuuden prosentin stressitestin avulla eli laskemalla, miten paljon lainanhoito maksaa, jos korko on kuusi prosenttia.;Lait/toimintasäännot
3-11939848;– Juuri nyt kuusi prosenttia tuntuu kaukaiselta, mutta ei siitä niin pitkä aika ole, kun meillä oli ihan merkittävän suuruisia korkoja euroalueella, Schauman sanoo.;Muu
3-11939848;Kannattaa miettiä, miten erilaiset korkotasot vaikuttavat omaan talouteen, lainan kuukausierään tai lainan pituuteen, hän vinkkaa.;Henkilökohtainen_kokemus
3-11939848;– Itse laskin viimeksi asuntolainaa ottaessa, miten kulut muuttuvat, jos korko on kymmenen prosenttia.;Henkilökohtainen_kokemus
3-11939848;Se on hyvin epätodennäköinen toteuma juuri nyt, mutta emme tiedä hirveän paljon maailmasta kahdenkymmenen vuoden kuluttua.;Henkilökohtainen_kokemus
3-11939848;Hannu Nummiaro suosittelee varautumaan koronnousuun maltillisemman vertailun avulla.;Henkilökohtainen_kokemus
3-11939848;– Moni ei edes tiedä sitä, miten paljon lainan kulut nousevat, jos korko nousee kahteen prosenttiin.;Muu
3-11939848;Oma talous kannattaa hänen mukaansa jo nyt sopeuttaa siihen, että asuntolainan korko olisi kaksi prosenttia.;Henkilökohtainen_kokemus
3-11939848;– Ylijäävän rahan voi siirtää joka kuukausi kasvamaan esimerkiksi matalariskiseen rahastoon ja kerryttämään puskuria, jonka voi purkaa, kun ne korkeat korot tulevat, Nummiaro sanoo.;Henkilökohtainen_kokemus
3-11939848;Ylen laskurilla voit vertailla, miten oman lainan kuukausikulut nousevat, kun korot alkavat kivuta ylöspäin.;Muu
3-11939848;Inflaatio näkyy jo korkosuojauksessa;Korrelaatio/kaussatio
3-11939848;Pankit myyvät asuntolainaa ottaville erilaisia korkosuojaustuotteita, kuten korkokattoja ja korkoputkia.;Muu
3-11939848;Ne sanelevat enimmäismäärän, johon korko voi laina-aikana nousta.;Lait/toimintasäännot
3-11939848;Suojauksen hintaa inflaatio on jo voinut nostaa.;Korrelaatio/kaussatio
3-11939848;Erityisesti niille kotitalouksille, joilla on paljon velkaa ja koronnousu voisi tarkoittaa talousvaikeuksia, korkosuoja voi olla järkevä.;Muu
3-11939848;Suojausta hankkiessa kannattaa olla tarkkana esimerkiksi sen suhteen, miten pitkään suoja on voimassa, Hannu Nummiaro muistuttaa.;Henkilökohtainen_kokemus
3-11939848;– Jos puhutaan rahoitusmarkkinatermein, niin siinähän ostetaan optioita.;Muu
3-11939848;Hinnoitteluun vaikuttavat korkomarkkinoiden odotukset sekä volatiliteetti eli epävarmuus markkinoilla.;Korrelaatio/kaussatio
3-11939848;Sen päälle pankki ottaa omat järjestelykustannuksensa.;Lait/toimintasäännot
3-11939848;Sitä, onko korkosuojauksen hinta kallis vai halpa, on kuluttajan vaikea arvioida, sanoo Heidi Schauman.;Muu
3-11939848;– Se on todella vaikea kysymys, jos ajattelee, että kuluttajan pitäisi luoda oma arvio siitä, miten todennäköisesti korko nousee tietyn rajan yläpuolelle.;Muu
3-11939848;Kannattaa kilpailuttaa pankkeja ja pyytää kahdesta–kolmesta pankista tarjous, Schauman neuvoo.;Henkilökohtainen_kokemus
3-11939848;– Siitä voi jo vähän arvioida, mikä on kallis ja mikä ei.;Henkilökohtainen_kokemus
3-11939848;Ostamalla mielenrauhaa;Ei_tarkistettavissa_oleva_väite
3-11939848;Vaihtoehto korkosuojalle on lainan sitominen kiinteään korkoon joko kokonaan tai osittain, kuten on tapana monissa Euroopan maissa.;Lait/toimintasäännot
3-11939848;Lainatyyppikin vaikuttaa: esimerkiksi tasaerälainassa koronnousu ei vaikuta kuukausierään, vaan laina-aika pitenee.;Lait/toimintasäännot
3-11939848;Joka tapauksessa kannattaa jutella pankissa, mitkä omat vaihtoehdot ovat ja mikä itselle sopii, ettei maksa sellaista turvasta, mitä ei oikeasti tarvitse, Schauman sanoo.;Henkilökohtainen_kokemus
3-11939848;– Jos ei ole niin paljon väliä, maksaako lainanhoito sata euroa enemmän ensi vuonna vai ei, niin silloin ei varmaan kannata suojata itseään liian paljon.;Henkilökohtainen_kokemus
3-11939848;Korkosuojaa voi toisaalta ajatella vakuutuksena, joka voi tuoda mielenrauhaa.;Henkilökohtainen_kokemus
3-11939848;Erityisesti ensimmäinen asuntolaina voi tuntua suurelta taakalta, hän sanoo.;Ei_tarkistettavissa_oleva_väite
3-11939848;– Se on myös psykologiaa, että miten turvallinen olo pitää olla, että pystyy elämään lainan kanssa.;Henkilökohtainen_kokemus
3-11939848;Juttua tarkennettu 25.5. kello 23:42: Kyse on matalan riskin, ei matalan koron rahastosta.;Muu
74-20066111;”Lopettakaa Gazan kansanmurha” – mielenilmaukset ympäri maata vaativat tulitaukoa Palestiinaan mahdollisimman pian;Muu
74-20066111;Eri puolilla maata on järjestetty mielenilmauksia palestiinalaisten tueksi.;Muu
74-20066111;Tapahtumilla ei ole yhteistä järjestäjää.;Muu
74-20066111;Ainakin Helsingissä, Vaasassa, Oulussa ja Jyväskylässä järjestettiin tänään keskiviikkona mielenilmauksia palestiinalaisten tueksi.;Muu
74-20066111;Jokaisella tapahtumalla oli oma järjestäjä.;Muu
74-20066111;Palestiinalaisia tukevia mielenilmauksia on järjestetty useita jo aikaisemmin loka-joulukuussa eri puolilla maata.;Muu
74-20066111;Ne kaikki liittyvät [Israelin asevoimien massiiviseen hyökkäykseen Gazassa, Hamasin hallitsemalla palestiinalaisalueella.](https://yle.fi/a/74-20065614);Muu
74-20066111;Israelin hyökkäys oli vastaus Hamasin lokakuun alussa siviilejä kohtaan tekemään terrori-iskuun Israelissa.;Korrelaatio/kaussatio
74-20066111;Free Palestine Jkl -kynttiläkulkueeseen osallistui järjestäjän arvion mukaan noin 100 ihmistä.;Määrä
74-20066111;Osallistujat vaativat palestiinalaisten sorron lopettamista Gazassa ja Länsirannalla.;Muu
74-20066111;Mielenosoitus oli hiljainen, ja poliisi seurasi sitä.;Muu
74-20066111;Yksi osallistujista kantoi kylttiä, jossa vaadittiin ”Stop the genocide in Gaza” eli lopettakaa Gazan kansanmurha.;Ei_tarkistettavissa_oleva_väite
74-20066111;Tapahtuman taustalla ei ole virallista järjestäjäorganisaatiota.;Muu
74-20066111;Free Palestine Jkl -ryhmän edustajan mukaan ryhmä koostuu yksittäisistä ihmisistä, jotka ovat järjestäytyneet sosiaalisen median kautta.;Muu
74-20066111;”Kyse ei ole Israelin siviiliväestöstä”;Muu
74-20066111;Vaasassa tapahtuman taustalla oli Vaasa for Palestine -nimeä kantava ryhmä, joka koostuu eri taustoista tulevista ja eri uskontoja edustavista vaasalaisista.;Muu
74-20066111;Limamin mielestä tärkeintä olisi saada aikaan tulitauko Gazan alueella.;Muu
74-20066111;– Tavoitteena on yksiselitteisesti tuomita Palestiinassa tapahtuvat julmuudet ja puolustaa ihmishenkiä ja -arvoa.;Muu
74-20066111;Limam on yksi mielenilmauksen noin 40 järjestäjästä.;Muu
74-20066111;Vaasa for Palestine oli alun perin kolmen ihmisen ajatus, josta on kasvanut paikallinen ilmiö.;Määrä
74-20066111;Limamin mukaan mielenilmauksissa ei sallittu syrjivää käytöstä ketään kohtaan: se on varmistettu tapahtumien sosiaalisen median markkinoinnin avulla.;Muu
74-20066111;– Kaikilla on yhteinen sävel siitä, millaisia kylttejä saa tuoda.;Henkilökohtainen_kokemus
74-20066111;Sekin on tehty selväksi, että jokaisesta puhutaan tasa-arvoisesti ja kunnioittavasti, sanoi Limam.;Muu
74-20066111;Limam korosti, että mielenilmaus kohdistuu Israelin hallituksen toimiin.;Muu
74-20066111;– Missään nimessä kyse ei ole siviiliväestöstä Israelin puolella.;Muu
74-20066111;Oulussa Solidarity with Gaza -kulkueen järjestäjänä oli yksityishenkilö.;Muu
74-20066111;Kaupungin keskusta-alueen kiertänyt mielenilmaus pysähtyi Rotuaarin lavalle pitämään puheita.;Muu
74-20066111;Artikkelia muokattu 21.12.2023 klo 11.13: Jyväskylän tapahtuman osallistujamäärä muutettu 70 henkilöstä järjestäjän arvioon, noin 100 henkilöä.;Määrä
74-20066111;Lisäksi täsmennetty tietoa tapahtuman järjestäneestä ryhmästä.;Muu
74-20066111;Artikkelia muokattu 22.12.2023 klo 17:28: Korjattu juttuun ajankohta, milloin palestiinalaisia tukevat mielenilmaukset ovat Suomessa alkaneet.;Muu
74-20066111;Ensimmäiset olivat jo lokakuussa, ei marraskuussa, kuten jutussa aiemmin luki.;Muu
74-20066111;Lisäksi täsmennetty sitä, mihin mielenilmauksen liittyvät.;Muu
74-20066111;Mielenilmauksilla vastusteaan Israelin asevoimien hyökkäystä, tekstistä sai aiemmin käsityksen, että mielenilmaukset liittyvät Hamasin terrori-iskuun.;Muu
74-20055698;Gazan rajalle siirrettiin puskutraktoreita, toimittajia pidetään loitolla rajasta;Muu
74-20055698;Israel jatkaa raskasta ilmahyökkäystään Gazaan, mutta maajoukkojen hyökkäystä ei ole vielä aloitettu.;Muu
74-20055698;Israelin ilmaiskujen aiheuttama pauke kuului selvästi ja savupatsaat nousivat Gazan puolelta tänäänkin päivällä.;Muu
74-20055698;Samaan aikaan Israel näytti jatkavan maahyökkäyksen valmistelua Be'erin kibbutsin tuntumassa noin viiden kilometrin päässä Gazan rajasta.;Muu
74-20055698;Kohti rajaa kuljetettiin myös useita puskutraktoreita, joita saatetaan käyttää Gazassa tuhottujen rakennusten raivaamisessa, jos Israel aloittaa maahyökkäyksen.;Määrä
74-20055698;Aivan tarkastuspisteen vieressä Be'eriin johtavalla tiellä oli rivistö panssarivaunuja, joiden kuvaamisen sotilaat kielsivät Ylen kuvausryhmältä.;Muu
74-20055698;Tarkastuspisteestä ei tiistaina päästetty eteenpäin kuin armeijan ajoneuvoja ja tukitoimintoihin liittyviä autoja.;Muu
74-20055698;Muutamat siviiliautot kuuluivat niille alueella asuville, jotka eivät ole siirtyneet muualle Israeliin.;Ei_tarkistettavissa_oleva_väite
74-20055698;Gazan rajan tuntumassa liikenne on tällä hetkellä muuten melko vähäistä.;Määrä
74-20055698;kibbutsi oli yksi eniten kärsineistä kohteista Hamasin hyökätessä Israeliin puolitoista viikkoa sitten.;Määrä
74-20055698;Sen jälkeen Israel on jatkanut raskasta ilmahyökkäystään Gazaan.;Muu
3-12505101;Herätys: Kesämökki halutaan nyt läheltä kotia | Suomalaistaistelijan mukaan Ukrainan sodan luonne on muuttunut | Moni vieraskielinen ei äänestä;Ei_tarkistettavissa_oleva_väite
3-12505101;Kerromme päivän uutiset ja puheenaiheet nopeasti.;Ei_tarkistettavissa_oleva_väite
3-12505101;Lyhyt mökkimatka korostuu tänä vuonna ostajien toiveissa;Muu
3-12505101;[Polttoaineen hinnan nousu heijastuu jo mökkikauppaan](https://yle.fi/uutiset/3-12503904), kerrotaan Suomen mökkirikkaimmasta kunnasta Kuopiosta.;Korrelaatio/kaussatio
3-12505101;Tilastojen mukaan joka toinen matka kodin ja mökin välillä on enintään 39 kilometriä.;Määrä
3-12505101;Tyypillinen suomalainen kesämökki on 1970-luvulla valmistunut, järven rannalla sijaitseva 40–50 neliön lauta- tai hirsimökki, johon tulee sähköt, mutta ei välttämättä vesi.;Muu
3-12505101;"Suomalaistaistelija kertoo, kuinka Ukrainan sota on muuttunut ketteristä iskuista tykistösodaksi: ""Nyt vaaditaan lännen vahvaa aseapua""";Muu
3-12505101;Topi Huhtala on yksi vajaasta kahdestakymmenestä suomalaisesta, jotka ovat Ukrainassa taistelutehtävissä.;Määrä
3-12505101;Kaikki ovat lähteneet Ukrainaan sodan alkupuolella, Huhtala maaliskuun puolivälissä.;Muu
3-12505101;Vantaalainen Sharangan Kenganathan, 18, seuraa herkeämättä politiikkaa – moni vieraskielinen ei edes äänestä;Määrä
3-12505101;Vaalien tulosilta sai Sharangan Kenganathanin kiinnostumaan politiikasta.;Henkilökohtainen_kokemus
3-12505101;Hän seuraa sitä nyt tarkemmin kuin moni suomalainen.;Ei_tarkistettavissa_oleva_väite
3-12505101;[Usein vieraskieliset jättävät kuitenkin äänestämättä](https://yle.fi/uutiset/3-12498818), mikä huolestuttaa asiantuntijoita, koska vieraskielisten osuus kasvaa koko ajan, mutta äänestysinto ei.;Määrä
3-12505101;Uhkana pidetään varjoyhteiskuntien syntyä, jotka ovat uhkana demokratialle.;Muu
3-12505101;Sadealue liikkuu Suomen yli lännestä itään;Muu
3-12505101;Kapea kylmä sadealue liikkuu Suomen yli itään ja tuo mukanaan sadekuuroja sekä tilapäisesti viileämpää ilmaa.;Korrelaatio/kaussatio
3-12505101;Etelässä sää kuitenkin jatkuu pääosin poutaisena ja lämpötilat pysyttelevät 20 asteen vaiheilla.;Määrä
3-11857639;Etelä-Karjalassa 20 uutta koronatartuntaa;Määrä
3-11857639;Sairaalahoidossa on 16 koronatautipotilasta.;Määrä
3-11857639;Etelä-Karjalassa on varmistunut 20 uutta koronatartuntaa.;Määrä
3-11857639;Niistä 18 on Lappeenrannassa ja kaksi Imatralla.;Määrä
3-11857639;Sairaalahoidossa on 16 koronapotilasta.;Määrä
3-11857639;Koronatartunnat leviävät nyt Etelä-Karjalassa perheiden ja ystäväpiirien sisällä.;Määrä
3-11857639;– Esimerkiksi tämän päivän 20 uudesta tartunnan saaneesta 15 on ollut valmiiksi karanteenissa, kun perheessä on koronapotilas, kertoo Eksoten tartuntatautien ylilääkäri Sami Raasakka.;Määrä
3-11857639;Terveyden ja hyvinvoinnin laitoksen tilaston mukaan Etelä-Karjalassa on viimeisen kahden viikon aikana varmistunut 200 koronavirustartuntaa.;Määrä
74-20013859;Satamien ja kuljetusalan työntekijöitä edustava AKT uhkaa työtaistelutoimilla, ellei työnantaja taivu merkittäviin palkankorotuksiin;Lait/toimintasäännot
74-20013859;AKT:n työehtosopimukset päättyvät valtaosin tammikuun lopussa.;Lait/toimintasäännot
74-20013859;Auto- ja kuljetusalan ammattiliitto AKT:n hallitus on antanut järjestölle valtuudet päättää työtaistelutoimista.;Lait/toimintasäännot
74-20013859;Kyse ei ole vielä varsinaisesta lakkoilmoituksesta.;Muu
74-20013859;Lakot ovat kuitenkin mahdollisia lähiaikoina, jos työmarkkinatilanteeseen ei löydy ratkaisua neuvottelemalla.;Muu
74-20013859;– Neuvotteluratkaisuun pyritään ilman muuta, mutta sisältö ratkaisee.;Ei_tarkistettavissa_oleva_väite
74-20013859;Palkkojen ja työehtojen on oltava riittävällä tasolla, jotta uusia sopimuksia saadaan solmittua, sanoo AKT:n puheenjohtaja Ismo Kokko tiedotteessa.;Muu
74-20013859;AKT ja muut Suomen Ammattiliittojen Keskusjärjestöön (SAK) kuuluvat liitot ovat linjanneet, että ne tavoittelevat Saksassa saavutettua teollisuuden palkkaratkaisua.;Muu
74-20013859;Saksan suurin ammattiliitto IG-Metall sopi marraskuussa 5,2 prosentin palkankorotuksesta vuodelle 2023 ja 3,3 prosentin korotuksesta sitä seuraavalle vuodelle.;Määrä
74-20013859;AKT:n tekemät työehtosopimukset päättyvät valtaosin 31.1.2023, jonka jälkeen päättyy myös liiton työrauhavelvoite.;Lait/toimintasäännot
74-20013859;Liitto sanookin tiedotteessaan, että mikäli neuvottelut eivät etene ennen kuunvaihdetta, työtaistelutoimet tulevat ajankohtaisiksi.;Muu
74-20013859;Osa muista SAK:n liitoista on jo ilmoittanut omista työtaistelutoimista, joilla ne pyrkivät vauhdittamaan Teollisuusliiton ja Teknologiateollisuuden työnantajien välisiä neuvotteluita.;Muu
74-20013859;Teollisuusliitto ja toimihenkilöjärjestöt YTN ja Pro ilmoittivat tiistaina ylityökiellosta ja kolmipäiväisistä lakoista teknologiateollisuudessa ja kemianteollisuudessa.;Muu
74-20013859;Myös sähköliitto on antanut lakkovaroituksen.;Muu
74-20013859;Palkansaajakeskusjärjestö SAK ilmoitti joulukuussa, että sen eri alojen liitot valmistautuvat tällä palkkakierroksella yhteisiin työtaistelutoimiin.;Muu
74-20013859;On mahdollista, että palkansaajien painostustoimista kuullaan pian myös kaupan alalta, jossa vanha sopimus umpeutuu kuun lopussa.;Ei_tarkistettavissa_oleva_väite
74-20013859;Kaupan alalla työntekijöiden sopimusneuvotteluja käy palvelualojen SAK:lainen ammattiliitto PAM.;Lait/toimintasäännot
74-20013859;Herättikö artikkeli ajatuksia?;Ei_tarkistettavissa_oleva_väite
74-20013859;Voit kommentoida sitä lauantaihin 21.1.2023 kello 23 asti.;Ei_tarkistettavissa_oleva_väite
74-20020583;Sabotaasien määrä Venäjällä kasvaa – ovatko tekijät ukrainalaisia sissejä vai venäläisiä vastarintataistelijoita?;Määrä
74-20020583;Venäjä syyttää Ukrainaa Venäjän puolelle tehdystä terrori-iskusta.;Muu
74-20020583;"Ukraina kutsuu Venäjän syytöksiä ""tarkoitukselliseksi provokaatioksi"".";Muu
74-20020583;Asiantuntijoiden mukaan mailla on syytöksille omat tarkoitusperänsä.;Muu
74-20020583;Kreml väitti torstaina Ukrainan tehneen ”terrori-iskun” Venäjän Branjskissa lähellä maiden rajaa.;Muu
74-20020583;Asiasta kertovat uutistoimistot AFP ja Reuters.;Muu
74-20020583;Lisäksi Kreml syytti Ukrainaa panttivankien ottamisesta Ljubetšanen kylässä.;Muu
74-20020583;Venäläisten uutistoimistojen mukaan venäläisjoukot taistelevat kahta ukrainalaista sabotööriosastoa vastaan Venäjän alueella.;Muu
74-20020583;Ukrainan presidentin Volodymyr Zelenskyin avustaja Myhailo Podolyak tyrmäsi torstaina Kremlin väitteet perättöminä venäläisten pelotteluina.;Muu
74-20020583;– Venäjän väite, jonka mukaan ukrainalaiset partisaanit olisivat tunkeutuneet Venäjän alueelle Brjanskin suunnalla on klassinen provokaatio, Podolyak sanoi.;Muu
74-20020583;Venäläisillä Telegram-kanavilla on torstaina liikkunut huhuja mahdollisesta ukrainalaisen tiedusteluryhmän hyökkäyksestä Sushanyssa Brjanskin alueella.;Muu
74-20020583;Uutistoimisto Reutersin tiedon mukaan Venäjän presidentti Vladimir Putin on kutsunut maan turvallisuusneuvoston hätäistuntoon Brjanskin tapahtumien vuoksi.;Muu
74-20020583;– He (Venäjän sotilaat) suojelevat ihmisiä uusnatseilta ja terroristeilta, jotka kiduttivat ja tappovat kahdeksan vuoden ajan ihmisiä Donbasissa, tappoivat Daria Duginan Moskovassa ja tänään toteuttivat jälleen uuden terroristiteon ja uuden rikoksen, sanoi Putin.;Muu
74-20020583;Kremlin tiedottajan mukaan hätäkokousta ei pidetä tänään, mutta Putinia pidetään ajantasalla tilanteesta.;Muu
74-20020583;Toimenpiteitä tehdään ukrainalaisten ”terroristien” tuhoamiseksi, tiedottaja sanoo.;Muu
74-20020583;Joakim Paasikivi: Kumpi vain voi olla iskujen takana;Ei_tarkistettavissa_oleva_väite
74-20020583;Entinen ruotsalaisupseeri ja sota-analyytikko Mikael Valtersson jakoi torstaina Twitterissä videon Venäjän vapaaehtoisjoukoista, joiden hän uskoo olevan operaation takana.;Muu
74-20020583;– Molemmat osapuolet syyttävät toisiaan, mutta näyttää siltä, että kyseessä oli Venäjän vapaaehtoispataljoonan itsenäinen ja typerä operaatio, Valtersson arvioi.;Muu
74-20020583;Venäjän alueella on viime päivien aikana tehty useita iskuja sotilaallisiin kohteisiin ja energialaitoksiin.;Määrä
74-20020583;Osa iskuista on epäonnistunut tai lennolle lähetetyt droonit eivät ole aina osuneet tarkasti maaleihinsa, mutta iskut osoittavat, että Venäjän kohteissa esiintyy uhkaa.;Muu
74-20020583;Molemmat osapuolet syyttävät iskuista toisiaan, ja Venäjä on kohdistanut syytöksensä laajemmin länteen.;Muu
74-20020583;[Ruotsalainen sanomalehti Dagens Nyheter](https://www.dn.se/varlden/expert-sabotagen-i-ryssland-har-okat-dramatiskt/) haastatteli asiantuntijoita, joiden mukaan Venäjällä ja Ukrainalla on omat syynsä etsiä iskujen tekijöiksi omat ehdokkaansa.;Muu
74-20020583;Myös Ylen haastattelema Ruotsin puolustuskorkeakoulun sotastrategian professori, everstiluutnantti Joakim Paasikivi arvioi, että molemmat osapuolet voivat hyvinkin olla iskujen takana.;Muu
74-20020583;Ukrainalla on Paasikiven mukaan hyvä syy hyökätä Venäjän kohteisiin.;Ei_tarkistettavissa_oleva_väite
